bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,100000,0,2
Chart_17,1,1,1
Chart_9,1,3,3
Cli_15,100000,0,1
Cli_17,100000,0,2
Cli_18,100000,0,1
Cli_2,1,3,3
Cli_20,100000,0,2
Cli_23,1,2,3
Cli_26,100000,0,1
Cli_32,100000,0,2
Cli_33,100000,0,4
Cli_35,1,2,2
Cli_36,100000,0,2
Cli_39,100000,0,3
Cli_40,1,1,3
Cli_5,1,1,1
Cli_8,100000,0,2
Closure_1,100000,0,1
Closure_10,100000,0,2
Closure_102,100000,0,1
Closure_109,100000,0,1
Closure_117,100000,0,1
Closure_120,2,1,2
Closure_121,1,1,1
Closure_123,100000,0,1
Closure_13,100000,0,2
Closure_134,100000,0,1
Closure_138,100000,0,1
Closure_144,100000,0,1
Closure_153,100000,0,1
Closure_16,100000,0,1
Closure_162,100000,0,1
Closure_171,100000,0,1
Closure_174,2,1,2
Closure_175,100000,0,1
Closure_20,100000,0,1
Closure_22,100000,0,1
Closure_25,100000,0,1
Closure_27,2,1,3
Closure_29,100000,0,1
Closure_30,100000,0,2
Closure_36,100000,0,1
Closure_42,100000,0,1
Closure_44,100000,0,3
Closure_47,100000,0,1
Closure_54,100000,0,1
Closure_56,100000,0,1
Closure_59,100000,0,2
Closure_65,100000,0,1
Closure_70,100000,0,1
Closure_87,100000,0,1
Closure_9,100000,0,1
Closure_90,100000,0,1
Closure_91,100000,0,1
Closure_92,100000,0,1
Closure_97,100000,0,1
Codec_10,100000,0,2
Codec_12,1,1,1
Codec_13,1,1,2
Codec_15,100000,0,3
Codec_17,1,2,2
Codec_3,100000,0,1
Codec_6,100000,0,2
Codec_7,1,1,1
Codec_9,100000,0,3
Compress_12,100000,0,1
Compress_14,100000,0,1
Compress_15,100000,0,1
Compress_17,100000,0,1
Compress_19,100000,0,2
Compress_20,100000,0,1
Compress_24,100000,0,1
Compress_31,100000,0,1
Compress_34,100000,0,1
Compress_35,100000,0,1
Compress_38,100000,0,3
Compress_39,100000,0,1
Compress_41,100000,0,2
Compress_42,100000,0,2
Compress_44,100000,0,1
Compress_7,100000,0,2
Compress_8,100000,0,1
Compress_9,100000,0,3
Csv_1,100000,0,1
Csv_10,2,1,4
Csv_14,100000,0,2
Csv_5,1,1,1
Csv_6,1,1,1
Csv_7,100000,0,1
Csv_8,1,3,3
Gson_13,1,1,1
Gson_15,1,2,3
Gson_5,1,2,3
Gson_7,1,2,2
JacksonCore_1,100000,0,1
JacksonCore_16,100000,0,4
JacksonCore_17,100000,0,1
JacksonCore_5,1,2,2
JacksonCore_6,100000,0,1
JacksonCore_9,1,2,2
JacksonDatabind_10,100000,0,3
JacksonDatabind_104,100000,0,1
JacksonDatabind_110,100000,0,1
JacksonDatabind_16,1,1,1
JacksonDatabind_19,1,1,2
JacksonDatabind_37,100000,0,1
JacksonDatabind_40,1,2,2
JacksonDatabind_42,1,1,1
JacksonDatabind_46,100000,0,2
JacksonDatabind_51,100000,0,2
JacksonDatabind_56,1,1,1
JacksonDatabind_6,2,1,3
JacksonDatabind_64,100000,0,1
JacksonDatabind_85,100000,0,1
JacksonDatabind_87,100000,0,2
JacksonDatabind_89,100000,0,3
JacksonDatabind_95,1,2,2
Jsoup_1,1,1,1
Jsoup_10,2,1,4
Jsoup_11,1,4,4
Jsoup_12,1,1,1
Jsoup_13,1,1,1
Jsoup_14,1,1,1
Jsoup_16,100000,0,1
Jsoup_17,1,1,1
Jsoup_18,100000,0,4
Jsoup_19,100000,0,4
Jsoup_2,100000,0,3
Jsoup_20,100000,0,4
Jsoup_21,2,4,5
Jsoup_22,3,1,3
Jsoup_23,1,1,1
Jsoup_24,100000,0,3
Jsoup_25,100000,0,2
Jsoup_26,1,2,3
Jsoup_27,100000,0,1
Jsoup_28,100000,0,2
Jsoup_29,100000,0,4
Jsoup_3,100000,0,2
Jsoup_31,100000,0,3
Jsoup_32,2,1,2
Jsoup_35,1,3,3
Jsoup_37,100000,0,2
Jsoup_38,2,2,3
Jsoup_39,100000,0,3
Jsoup_4,1,2,2
Jsoup_40,1,2,2
Jsoup_43,100000,0,2
Jsoup_44,1,2,2
Jsoup_47,100000,0,3
Jsoup_52,100000,0,3
Jsoup_55,2,1,4
Jsoup_56,2,3,4
Jsoup_60,100000,0,2
Jsoup_62,2,2,3
Jsoup_64,100000,0,4
Jsoup_65,100000,0,4
Jsoup_66,100000,0,2
Jsoup_67,1,1,1
Jsoup_68,100000,0,2
Jsoup_69,1,3,3
Jsoup_7,100000,0,2
Jsoup_70,1,3,3
Jsoup_71,100000,0,2
Jsoup_72,100000,0,3
Jsoup_74,1,1,1
Jsoup_75,1,4,4
Jsoup_77,1,2,2
Jsoup_78,100000,0,1
Jsoup_8,1,1,1
Jsoup_80,1,2,2
Jsoup_83,1,4,4
Jsoup_85,100000,0,1
Jsoup_86,100000,0,1
Jsoup_88,1,3,3
Jsoup_89,100000,0,1
Jsoup_9,1,1,2
Jsoup_90,1,1,4
Jsoup_91,100000,0,3
JxPath_14,1,3,3
JxPath_15,100000,0,1
JxPath_20,1,2,2
JxPath_21,1,2,3
JxPath_4,100000,0,1
JxPath_6,1,2,2
Lang_12,100000,0,1
Lang_18,100000,0,5
Lang_19,1,1,1
Lang_20,1,1,2
Lang_23,100000,0,1
Lang_24,1,1,1
Lang_25,100000,0,1
Lang_27,2,2,3
Lang_3,100000,0,4
Lang_31,1,1,1
Lang_33,1,1,1
Lang_35,100000,0,1
Lang_36,1,1,1
Lang_37,100000,0,2
Lang_38,1,1,1
Lang_41,100000,0,2
Lang_5,100000,0,1
Lang_6,1,1,2
Lang_8,100000,0,1
Lang_9,100000,0,2
Math_1,1,1,1
Math_101,100000,0,1
Math_102,100000,0,3
Math_105,1,1,1
Math_106,1,2,2
Math_16,3,1,3
Math_2,1,1,1
Math_26,100000,0,2
Math_27,2,1,2
Math_29,100000,0,1
Math_30,1,2,2
Math_31,100000,0,1
Math_35,100000,0,1
Math_37,1,2,2
Math_39,100000,0,1
Math_40,100000,0,1
Math_43,100000,0,1
Math_45,100000,0,2
Math_47,1,1,2
Math_5,1,2,2
Math_50,100000,0,1
Math_53,1,1,1
Math_54,1,1,1
Math_55,1,1,1
Math_56,1,3,4
Math_59,1,2,2
Math_6,1,1,1
Math_63,1,1,1
Math_71,100000,0,1
Math_75,100000,0,1
Math_76,100000,0,2
Math_77,1,1,1
Math_8,1,1,1
Math_80,1,1,1
Math_85,1,1,1
Math_89,100000,0,4
Math_9,100000,0,3
Math_90,100000,0,4
Math_91,1,4,4
Math_93,1,2,2
Math_94,1,1,1
Math_96,1,1,1
Math_98,1,1,1
Math_99,1,1,1
Mockito_18,100000,0,1
Mockito_3,100000,0,1
Time_10,1,1,1
Time_12,100000,0,1
Time_15,1,1,1
Time_18,1,2,2
Time_19,100000,0,3
Time_2,1,2,2
Time_3,100000,0,4
Time_4,100000,0,2
Time_5,100000,0,2
Time_7,1,1,1
Time_8,1,2,3
