bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,100000,0,2
Chart_9,1,3,3
Cli_2,1,3,3
Cli_20,100000,0,2
Cli_23,1,2,3
Cli_39,100000,0,3
Closure_13,100000,0,2
Closure_27,2,1,3
Codec_13,1,1,2
Codec_17,1,2,2
Codec_7,1,1,1
Compress_44,100000,0,1
Csv_10,2,1,4
Gson_15,1,2,3
Gson_7,1,2,2
JacksonCore_16,100000,0,4
JacksonCore_5,1,2,2
JacksonDatabind_10,100000,0,3
JacksonDatabind_110,100000,0,1
JacksonDatabind_51,100000,0,2
JacksonDatabind_89,100000,0,3
Jsoup_10,2,1,4
Jsoup_18,100000,0,4
Jsoup_20,100000,0,4
Jsoup_21,2,4,5
Jsoup_22,3,1,3
Jsoup_23,1,1,1
Jsoup_24,100000,0,3
Jsoup_26,1,2,3
Jsoup_28,100000,0,2
Jsoup_29,100000,0,4
Jsoup_31,100000,0,3
Jsoup_32,2,1,2
Jsoup_35,1,3,3
Jsoup_39,100000,0,3
Jsoup_4,1,2,2
Jsoup_40,1,2,2
Jsoup_44,1,2,2
Jsoup_47,100000,0,3
Jsoup_52,100000,0,3
Jsoup_55,2,1,4
Jsoup_56,2,3,4
Jsoup_62,2,2,3
Jsoup_65,100000,0,4
Jsoup_70,1,3,3
Jsoup_72,100000,0,3
Jsoup_74,1,1,1
Jsoup_75,1,4,4
Jsoup_77,1,2,2
Jsoup_83,1,4,4
Jsoup_88,1,3,3
Jsoup_90,1,1,4
JxPath_14,1,3,3
JxPath_21,1,2,3
JxPath_6,1,2,2
Lang_18,100000,0,5
Lang_20,1,1,2
Lang_24,1,1,1
Lang_27,2,2,3
Lang_3,100000,0,4
Lang_35,100000,0,1
Lang_37,100000,0,2
Lang_41,100000,0,2
Math_1,1,1,1
Math_102,100000,0,3
Math_106,1,2,2
Math_26,100000,0,2
Math_37,1,2,2
Math_45,100000,0,2
Math_47,1,1,2
Math_53,1,1,1
Math_56,1,3,4
Math_59,1,2,2
Math_63,1,1,1
Math_76,100000,0,2
Math_89,100000,0,4
Math_90,100000,0,4
Math_91,1,4,4
Time_18,1,2,2
Time_19,100000,0,3
Time_2,1,2,2
Time_8,1,2,3
