bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Time_8,Time_8_n3.txt,True,31,2,1,False,True,False,False,False
Time_8,Time_8_n1.txt,True,33,2,1,False,True,False,False,False
Time_8,Time_8_n0.txt,False,33,1,1,False,False,False,False,False
Time_7,Time_7_n0.txt,True,88,1,1,False,True,False,False,False
Time_4,Time_4_n1.txt,False,110,1,1,False,True,False,False,False
Time_4,Time_4_n4.txt,False,149,1,1,False,False,True,False,False
Time_5,Time_5_n3.txt,False,98,1,1,True,False,False,False,False
Time_5,Time_5_n1.txt,False,100,1,1,True,False,False,False,False
Time_3,Time_3_n1.txt,False,101,1,1,False,False,True,False,False
Time_3,Time_3_n3.txt,False,116,1,1,False,False,True,False,False
Time_3,Time_3_n2.txt,False,130,1,1,False,False,True,False,False
Time_3,Time_3_n4.txt,False,73,1,1,False,False,True,False,False
Time_18,Time_18_n3.txt,True,157,2,1,True,True,False,True,False
Time_18,Time_18_n2.txt,True,94,2,1,True,True,False,True,False
Time_12,Time_12_n2.txt,False,51,1,1,False,False,False,False,False
Time_10,Time_10_n2.txt,True,109,1,1,True,True,False,False,False
Time_2,Time_2_n2.txt,True,42,2,1,False,True,False,False,False
Time_2,Time_2_n0.txt,True,42,2,1,False,True,False,False,False
Time_19,Time_19_n4.txt,False,124,3,1,False,False,False,False,False
Time_19,Time_19_n2.txt,False,140,1,1,False,False,True,False,False
Time_19,Time_19_n1.txt,False,124,3,2,False,False,False,False,False
Time_15,Time_15_n4.txt,True,34,1,1,True,False,False,False,False
Mockito_3,Mockito_3_n4.txt,False,93,1,1,True,False,False,False,False
Math_16,Math_16_n4.txt,False,34,1,1,True,True,False,False,False
Math_16,Math_16_n1.txt,True,50,1,1,True,False,False,False,False
Math_16,Math_16_n3.txt,False,31,1,1,True,False,False,False,False
Math_106,Math_106_n3.txt,True,46,3,2,False,False,False,False,False
Math_106,Math_106_n2.txt,True,108,3,1,False,False,False,False,False
Math_105,Math_105_n3.txt,True,148,1,1,False,False,False,False,False
Math_102,Math_102_n3.txt,False,125,1,1,False,False,False,False,False
Math_102,Math_102_n0.txt,False,65,2,1,False,False,False,False,False
Math_102,Math_102_n2.txt,False,65,2,1,False,False,False,False,False
Mockito_18,Mockito_18_n2.txt,False,67,1,1,False,True,False,False,False
Math_98,Math_98_n2.txt,True,80,1,1,True,True,False,False,False
Math_94,Math_94_n4.txt,True,39,1,1,True,False,False,False,False
Math_91,Math_91_n3.txt,True,70,4,1,False,False,False,False,False
Math_91,Math_91_n2.txt,True,70,4,1,False,False,False,False,False
Math_91,Math_91_n0.txt,True,63,4,1,False,False,False,False,False
Math_91,Math_91_n1.txt,True,60,4,1,False,False,False,False,False
Math_96,Math_96_n2.txt,True,96,1,1,False,False,False,False,False
Math_90,Math_90_n3.txt,False,31,5,2,True,True,False,True,False
Math_90,Math_90_n1.txt,False,75,5,1,True,True,False,True,True
Math_90,Math_90_n4.txt,False,25,5,1,True,True,False,True,False
Math_90,Math_90_n0.txt,False,79,5,1,True,True,False,True,True
Math_99,Math_99_n0.txt,True,33,1,1,False,False,False,False,False
Math_93,Math_93_n1.txt,True,60,1,1,False,False,False,False,False
Math_93,Math_93_n0.txt,True,38,1,1,False,False,False,False,False
Math_80,Math_80_n3.txt,True,401,1,1,False,False,False,False,False
Math_89,Math_89_n3.txt,False,57,4,1,True,True,False,False,False
Math_89,Math_89_n1.txt,False,41,4,1,True,True,False,False,False
Math_89,Math_89_n2.txt,False,82,4,1,True,True,False,False,True
Math_89,Math_89_n0.txt,False,38,4,1,True,True,False,False,False
Math_9,Math_9_n0.txt,False,159,1,1,False,False,False,False,False
Math_9,Math_9_n2.txt,False,122,1,1,False,False,False,False,False
Math_9,Math_9_n1.txt,False,122,1,1,False,False,False,False,False
Math_85,Math_85_n1.txt,True,102,1,1,True,False,False,False,True
Math_77,Math_77_n4.txt,True,46,1,1,False,False,False,False,False
Math_71,Math_71_n0.txt,False,151,1,1,False,False,False,False,False
Math_8,Math_8_n3.txt,True,99,1,1,True,True,False,False,False
Math_76,Math_76_n4.txt,False,106,2,1,True,True,False,False,False
Math_76,Math_76_n0.txt,False,106,2,1,True,True,False,False,False
Math_75,Math_75_n4.txt,False,48,1,1,False,False,False,False,False
Math_63,Math_63_n4.txt,True,39,2,2,False,False,False,False,False
Math_53,Math_53_n4.txt,True,69,2,2,False,False,False,False,False
Math_54,Math_54_n4.txt,True,61,1,1,False,False,False,False,False
Math_55,Math_55_n2.txt,True,110,1,1,False,False,False,False,False
Math_59,Math_59_n4.txt,True,29,2,1,False,False,True,False,False
Math_59,Math_59_n2.txt,True,24,2,1,False,False,True,False,False
Math_6,Math_6_n2.txt,True,186,1,1,False,False,False,False,False
Math_56,Math_56_n2.txt,True,71,1,1,False,False,True,False,False
Math_56,Math_56_n3.txt,True,151,2,1,False,False,True,False,False
Math_56,Math_56_n4.txt,False,63,1,1,False,True,False,False,False
Math_56,Math_56_n0.txt,True,115,2,1,False,False,True,False,False
Math_5,Math_5_n2.txt,True,48,1,1,False,False,False,False,False
Math_5,Math_5_n1.txt,True,53,1,1,False,False,True,False,False
Math_43,Math_43_n4.txt,False,86,1,1,False,False,False,False,False
Math_45,Math_45_n0.txt,False,26,2,1,True,True,False,False,False
Math_45,Math_45_n2.txt,False,19,2,1,True,True,False,False,False
Math_50,Math_50_n0.txt,False,97,1,1,False,False,False,False,False
Math_47,Math_47_n2.txt,True,67,2,1,False,False,False,False,False
Math_47,Math_47_n0.txt,False,101,2,1,False,False,False,False,False
Math_39,Math_39_n0.txt,False,122,1,1,False,False,False,False,False
Math_35,Math_35_n1.txt,False,53,1,1,False,False,False,False,False
Math_40,Math_40_n3.txt,False,92,1,1,False,True,False,False,False
Math_37,Math_37_n4.txt,True,53,2,1,False,False,True,False,False
Math_37,Math_37_n1.txt,True,40,2,1,False,False,True,False,False
Math_31,Math_31_n1.txt,False,32,1,1,False,False,False,False,False
Math_26,Math_26_n4.txt,False,77,2,1,True,False,False,False,False
Math_26,Math_26_n2.txt,False,77,2,1,True,False,False,False,False
Math_27,Math_27_n3.txt,True,56,1,1,True,False,False,False,False
Math_27,Math_27_n4.txt,False,45,1,1,True,False,False,False,False
Math_30,Math_30_n3.txt,True,58,1,1,True,False,False,False,False
