bug_id,first_success_rank,total_success_fibs,num_clusters
Cli_23,1,1,1
Cli_40,100000,0,1
Closure_134,100000,0,5
Closure_136,100000,0,1
Closure_146,100000,0,1
Closure_25,100000,0,1
Closure_41,100000,0,1
Closure_46,100000,0,1
Closure_54,100000,0,2
Closure_69,100000,0,2
Closure_89,100000,0,1
Codec_13,1,1,1
Codec_5,100000,0,1
Codec_9,100000,0,4
Compress_19,100000,0,1
Csv_6,1,1,1
Gson_10,100000,0,1
JacksonCore_5,1,2,2
JacksonCore_7,100000,0,1
JacksonDatabind_10,100000,0,2
JacksonDatabind_17,1,1,1
JacksonDatabind_19,100000,0,1
JacksonDatabind_22,100000,0,1
JacksonDatabind_51,100000,0,1
JacksonDatabind_80,100000,0,1
JacksonDatabind_85,100000,0,2
JacksonDatabind_88,100000,0,1
JacksonDatabind_89,100000,0,3
JacksonDatabind_92,100000,0,1
JacksonDatabind_94,100000,0,1
JacksonDatabind_95,1,2,2
Jsoup_21,1,1,1
Jsoup_26,1,3,3
Jsoup_40,1,2,2
Jsoup_53,100000,0,1
Jsoup_72,100000,0,2
Jsoup_80,1,1,1
Jsoup_82,1,1,1
Jsoup_91,100000,0,1
Lang_11,100000,0,1
Lang_12,100000,0,3
Lang_19,1,2,2
Lang_20,1,1,1
Lang_27,100000,0,2
Lang_33,1,4,4
Lang_35,100000,0,1
Lang_37,100000,0,2
Math_1,1,1,1
Math_101,100000,0,1
Math_3,1,1,1
Math_48,100000,0,1
Math_50,100000,0,1
Math_58,1,2,2
Math_74,100000,0,1
Math_8,1,1,1
Math_86,100000,0,1
Math_89,100000,0,3
Math_90,100000,0,3
Mockito_11,100000,0,1
Mockito_20,100000,0,1
Time_18,1,1,1
Time_2,1,2,2
Time_4,100000,0,1
Time_5,1,1,1
