bug_id,first_success_rank,total_success_fibs,num_clusters
Closure_134,100000,0,5
Codec_13,1,1,1
Codec_9,100000,0,4
JacksonCore_5,1,2,2
JacksonDatabind_10,100000,0,2
JacksonDatabind_51,100000,0,1
JacksonDatabind_85,100000,0,2
JacksonDatabind_89,100000,0,3
JacksonDatabind_95,1,2,2
Jsoup_26,1,3,3
Jsoup_40,1,2,2
Jsoup_72,100000,0,2
Jsoup_80,1,1,1
Lang_12,100000,0,3
Lang_19,1,2,2
Lang_20,1,1,1
Lang_27,100000,0,2
Lang_33,1,4,4
Lang_37,100000,0,2
Math_1,1,1,1
Math_50,100000,0,1
Math_58,1,2,2
Math_89,100000,0,3
Math_90,100000,0,3
Time_2,1,2,2
