bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Cli_23,Cli_23_n0.txt,True,52,1,2,True,True,False,False,False
Cli_40,Cli_40_n4.txt,False,31,1,1,False,True,False,False,False
Closure_134,Closure_134_n0.txt,False,23,5,1,False,True,False,False,False
Closure_134,Closure_134_n2.txt,False,23,5,1,False,True,False,False,False
Closure_134,Closure_134_n1.txt,False,23,5,1,False,True,False,False,False
Closure_134,Closure_134_n4.txt,False,23,5,1,False,True,False,False,False
Closure_134,Closure_134_n3.txt,False,23,5,1,False,True,False,False,False
Closure_136,Closure_136_n3.txt,False,41,1,1,False,False,False,False,False
Closure_146,Closure_146_n3.txt,False,9,1,1,False,False,False,False,False
Closure_25,Closure_25_n0.txt,False,9,1,1,False,False,False,False,False
Closure_41,Closure_41_n1.txt,False,12,1,1,False,False,False,False,False
Closure_46,Closure_46_n3.txt,False,15,1,1,True,False,False,False,False
Closure_54,Closure_54_n0.txt,False,9,1,1,False,False,False,False,False
Closure_54,Closure_54_n1.txt,False,20,1,1,False,True,False,False,False
Closure_69,Closure_69_n1.txt,False,12,1,1,False,False,False,False,False
Closure_69,Closure_69_n4.txt,False,27,1,1,False,True,False,False,False
Closure_89,Closure_89_n2.txt,False,16,1,1,False,True,False,False,False
Codec_13,Codec_13_n0.txt,True,26,2,2,True,True,False,True,False
Codec_5,Codec_5_n4.txt,False,99,1,1,True,True,False,False,False
Codec_9,Codec_9_n2.txt,False,36,1,1,True,True,False,False,False
Codec_9,Codec_9_n1.txt,False,46,3,1,True,True,False,False,False
Codec_9,Codec_9_n3.txt,False,46,3,1,True,True,False,False,False
Codec_9,Codec_9_n4.txt,False,46,3,1,True,True,False,False,False
Compress_19,Compress_19_n3.txt,False,22,1,1,True,True,False,False,False
Gson_10,Gson_10_n4.txt,False,25,1,1,False,False,False,False,False
Csv_6,Csv_6_n1.txt,True,51,1,1,True,True,False,False,False
JacksonCore_5,JacksonCore_5_n1.txt,True,17,3,2,True,True,False,False,False
JacksonCore_5,JacksonCore_5_n3.txt,True,14,3,1,True,True,False,False,False
JacksonCore_7,JacksonCore_7_n1.txt,False,48,1,1,True,True,False,False,False
JacksonDatabind_10,JacksonDatabind_10_n1.txt,False,58,2,1,False,False,False,False,False
JacksonDatabind_10,JacksonDatabind_10_n4.txt,False,44,2,1,False,False,False,False,False
JacksonDatabind_17,JacksonDatabind_17_n2.txt,True,43,1,1,True,True,False,True,False
JacksonDatabind_19,JacksonDatabind_19_n2.txt,False,75,1,1,False,False,False,False,False
JacksonDatabind_22,JacksonDatabind_22_n0.txt,False,46,1,1,False,False,False,False,False
JacksonDatabind_51,JacksonDatabind_51_n2.txt,False,9,2,2,False,False,False,False,False
JacksonDatabind_80,JacksonDatabind_80_n2.txt,False,7,1,1,False,True,False,False,False
JacksonDatabind_85,JacksonDatabind_85_n1.txt,False,44,2,1,False,False,False,False,False
JacksonDatabind_85,JacksonDatabind_85_n0.txt,False,59,2,1,False,False,False,False,False
JacksonDatabind_88,JacksonDatabind_88_n1.txt,False,16,1,1,False,True,False,False,False
JacksonDatabind_89,JacksonDatabind_89_n3.txt,False,33,2,1,False,True,False,False,False
JacksonDatabind_89,JacksonDatabind_89_n2.txt,False,44,1,1,False,True,False,False,False
JacksonDatabind_89,JacksonDatabind_89_n4.txt,False,33,2,1,False,True,False,False,False
JacksonDatabind_92,JacksonDatabind_92_n0.txt,False,44,1,1,False,True,False,False,False
JacksonDatabind_94,JacksonDatabind_94_n3.txt,False,39,1,1,False,True,False,False,False
JacksonDatabind_95,JacksonDatabind_95_n4.txt,True,23,3,2,True,True,False,False,False
JacksonDatabind_95,JacksonDatabind_95_n1.txt,True,36,3,1,True,True,False,False,False
Jsoup_21,Jsoup_21_n4.txt,True,14,1,1,True,True,False,True,False
Jsoup_26,Jsoup_26_n2.txt,True,42,3,1,True,True,False,False,False
Jsoup_26,Jsoup_26_n4.txt,True,42,3,1,True,True,False,False,False
Jsoup_26,Jsoup_26_n3.txt,True,44,3,1,True,True,False,False,False
Jsoup_40,Jsoup_40_n2.txt,True,22,3,1,True,True,False,True,False
Jsoup_40,Jsoup_40_n1.txt,True,17,3,2,True,True,False,True,False
Jsoup_53,Jsoup_53_n4.txt,False,32,1,1,True,True,False,True,False
Jsoup_72,Jsoup_72_n3.txt,False,25,4,3,True,True,False,False,False
Jsoup_72,Jsoup_72_n1.txt,False,22,4,1,True,True,False,False,False
Jsoup_80,Jsoup_80_n0.txt,True,30,3,3,True,True,False,True,False
Jsoup_82,Jsoup_82_n1.txt,True,49,1,1,True,True,False,True,False
Jsoup_91,Jsoup_91_n4.txt,False,42,1,1,True,False,False,False,False
Lang_11,Lang_11_n0.txt,False,37,1,1,True,True,False,False,False
Lang_12,Lang_12_n4.txt,False,70,2,1,True,True,False,False,False
Lang_12,Lang_12_n3.txt,False,37,2,1,True,True,False,False,False
Lang_12,Lang_12_n1.txt,False,67,1,1,True,True,False,True,False
Lang_19,Lang_19_n2.txt,True,19,2,1,True,True,False,True,False
Lang_19,Lang_19_n3.txt,True,22,2,1,True,True,False,True,False
Lang_20,Lang_20_n0.txt,True,39,2,2,True,True,False,False,False
Lang_27,Lang_27_n2.txt,False,19,2,1,True,True,False,True,False
Lang_27,Lang_27_n4.txt,False,14,2,1,True,True,False,True,False
Lang_33,Lang_33_n0.txt,True,29,4,1,True,True,False,False,False
Lang_33,Lang_33_n3.txt,True,31,4,1,True,True,False,False,False
Lang_33,Lang_33_n4.txt,True,32,4,1,True,True,False,False,False
Lang_33,Lang_33_n2.txt,True,27,4,1,True,True,False,False,False
Lang_35,Lang_35_n0.txt,False,42,1,1,True,True,False,True,False
Lang_37,Lang_37_n0.txt,False,33,3,2,True,True,False,True,False
Lang_37,Lang_37_n3.txt,False,47,3,1,True,True,False,True,False
Math_1,Math_1_n1.txt,True,23,2,2,True,True,False,False,False
Math_101,Math_101_n1.txt,False,55,1,1,True,True,False,False,False
Math_3,Math_3_n2.txt,True,34,1,1,True,True,False,True,False
Math_48,Math_48_n4.txt,False,72,1,1,False,True,False,False,False
Math_50,Math_50_n1.txt,False,71,2,2,False,True,False,False,False
Math_58,Math_58_n2.txt,True,114,2,1,True,True,False,True,False
Math_58,Math_58_n3.txt,True,114,2,1,True,True,False,True,False
Math_74,Math_74_n0.txt,False,30,1,1,True,True,False,False,False
Math_8,Math_8_n4.txt,True,107,1,1,True,True,False,False,False
Math_86,Math_86_n3.txt,False,63,1,1,True,False,False,False,False
Math_89,Math_89_n1.txt,False,30,4,2,True,True,False,False,False
Math_89,Math_89_n3.txt,False,31,4,1,True,True,False,False,False
Math_89,Math_89_n2.txt,False,31,4,1,True,True,False,False,False
Math_90,Math_90_n3.txt,False,37,5,1,True,True,False,True,False
Math_90,Math_90_n1.txt,False,31,5,3,True,True,False,True,False
Math_90,Math_90_n2.txt,False,30,5,1,True,True,False,True,False
Mockito_11,Mockito_11_n4.txt,False,36,1,1,False,True,False,False,False
Mockito_20,Mockito_20_n3.txt,False,9,1,1,False,True,False,False,False
Time_18,Time_18_n0.txt,True,31,1,1,True,True,False,True,False
Time_2,Time_2_n3.txt,True,37,2,1,False,True,False,False,False
Time_2,Time_2_n2.txt,True,35,2,1,False,True,False,False,False
Time_4,Time_4_n3.txt,False,39,1,1,False,True,False,False,False
Time_5,Time_5_n0.txt,True,94,1,1,True,True,False,False,False
