bug_id,first_success_rank,total_success_fibs,num_clusters
Cli_23,1,2,3
Closure_78,100000,0,2
Codec_13,100000,0,2
Codec_7,1,2,2
Compress_44,100000,0,3
Csv_2,100000,0,3
JacksonCore_12,1,1,1
JacksonDatabind_110,100000,0,2
JacksonDatabind_85,100000,0,5
JacksonDatabind_89,100000,0,3
Jsoup_10,2,1,3
Jsoup_23,1,2,2
Jsoup_40,1,2,2
Jsoup_72,100000,0,1
Jsoup_74,100000,0,1
Jsoup_75,1,3,3
Jsoup_77,1,1,1
JxPath_14,1,1,1
Lang_12,100000,0,2
Lang_15,2,1,2
Lang_19,1,1,2
Lang_20,1,3,3
Lang_31,1,1,1
Lang_33,1,3,3
Lang_36,1,2,2
Lang_37,100000,0,2
Lang_38,1,2,2
Lang_39,100000,0,2
Math_102,1,3,3
Math_105,1,2,2
Math_106,1,2,2
Math_26,100000,0,3
Math_37,1,3,3
Math_56,1,2,2
Math_71,100000,0,4
Math_79,1,3,4
Math_80,1,4,4
Math_89,100000,0,2
Math_90,100000,0,4
Math_93,1,2,2
Math_94,1,3,3
Time_7,1,1,2
