bug_id,first_success_rank,total_success_fibs,num_clusters
Cli_15,2,1,2
Cli_2,1,1,1
Cli_23,1,1,4
Cli_35,1,1,1
Closure_102,100000,0,1
Closure_116,100000,0,1
Closure_128,100000,0,1
Closure_134,100000,0,1
Closure_153,100000,0,1
Codec_12,1,1,1
Codec_13,1,2,2
Codec_9,100000,0,1
Compress_22,100000,0,1
Compress_9,100000,0,1
JacksonCore_5,1,1,1
JacksonDatabind_110,100000,0,1
JacksonDatabind_16,1,1,1
JacksonDatabind_46,100000,0,1
Jsoup_12,1,1,1
Jsoup_16,100000,0,1
Jsoup_19,100000,0,1
Jsoup_25,100000,0,1
Jsoup_42,1,1,1
Jsoup_58,1,1,1
Jsoup_72,100000,0,1
Jsoup_77,1,1,1
Jsoup_80,100000,0,1
Jsoup_86,1,1,1
Jsoup_91,100000,0,3
JxPath_11,100000,0,1
JxPath_5,100000,0,1
Lang_20,1,1,2
Lang_27,100000,0,1
Lang_3,1,1,1
Lang_33,1,3,3
Lang_37,100000,0,2
Lang_39,100000,0,1
Math_106,1,1,1
Math_3,1,1,1
Math_35,100000,0,2
Math_40,100000,0,1
Math_58,1,3,3
Math_76,100000,0,1
Math_80,1,1,1
Math_90,100000,0,1
Time_10,1,1,1
Time_18,1,2,2
