bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Cli_15,Cli_15_n0.txt,True,207,1,1,False,False,True,False,False
Cli_15,Cli_15_n4.txt,False,203,1,1,False,False,True,False,False
Cli_2,Cli_2_n2.txt,True,81,1,1,False,True,False,False,False
Cli_23,Cli_23_n2.txt,True,52,4,1,True,True,False,False,False
Cli_23,Cli_23_n3.txt,False,71,4,1,True,True,False,False,False
Cli_23,Cli_23_n1.txt,False,69,4,1,True,True,False,False,False
Cli_23,Cli_23_n0.txt,False,71,4,1,True,True,False,False,False
Cli_35,Cli_35_n1.txt,True,102,1,1,True,True,False,True,False
Closure_102,Closure_102_n2.txt,False,24,1,1,False,False,True,False,False
Closure_116,Closure_116_n2.txt,False,130,1,1,False,False,False,False,False
Closure_128,Closure_128_n3.txt,False,24,1,1,False,False,True,False,False
Closure_134,Closure_134_n2.txt,False,28,1,1,False,False,False,False,False
Closure_153,Closure_153_n0.txt,False,36,1,1,False,False,False,False,False
Codec_12,Codec_12_n1.txt,True,55,1,1,False,False,True,False,False
Codec_13,Codec_13_n0.txt,True,49,3,1,True,True,False,True,False
Codec_13,Codec_13_n2.txt,True,26,3,2,True,True,False,True,False
Codec_9,Codec_9_n3.txt,False,46,1,1,True,True,False,False,False
Compress_22,Compress_22_n4.txt,False,120,1,1,False,True,False,False,False
Compress_9,Compress_9_n0.txt,False,103,1,1,False,True,False,False,False
JacksonCore_5,JacksonCore_5_n4.txt,True,14,1,1,True,True,False,False,False
JacksonDatabind_110,JacksonDatabind_110_n1.txt,False,107,3,3,True,True,False,True,False
JacksonDatabind_16,JacksonDatabind_16_n0.txt,True,51,1,1,False,False,False,False,False
JacksonDatabind_46,JacksonDatabind_46_n2.txt,False,53,1,1,False,False,True,False,False
Jsoup_12,Jsoup_12_n1.txt,True,62,1,1,True,True,False,False,False
Jsoup_16,Jsoup_16_n0.txt,False,34,1,1,False,False,False,False,False
Jsoup_19,Jsoup_19_n3.txt,False,40,1,1,False,False,False,False,False
Jsoup_25,Jsoup_25_n2.txt,False,52,1,1,False,False,False,False,False
Jsoup_42,Jsoup_42_n2.txt,True,111,1,1,False,False,False,False,False
Jsoup_58,Jsoup_58_n2.txt,True,37,1,1,False,False,False,False,False
Jsoup_72,Jsoup_72_n3.txt,False,22,1,1,True,True,False,False,False
Jsoup_77,Jsoup_77_n1.txt,True,48,1,1,False,False,True,False,False
Jsoup_80,Jsoup_80_n4.txt,False,30,1,1,True,True,False,False,False
Jsoup_86,Jsoup_86_n0.txt,True,29,1,1,True,True,False,False,False
Jsoup_91,Jsoup_91_n2.txt,False,37,1,1,True,False,False,False,False
Jsoup_91,Jsoup_91_n3.txt,False,41,1,1,True,False,False,False,False
Jsoup_91,Jsoup_91_n4.txt,False,41,1,1,True,False,False,False,False
JxPath_11,JxPath_11_n4.txt,False,38,1,1,True,True,False,False,False
JxPath_5,JxPath_5_n2.txt,False,43,1,1,True,True,False,False,False
Lang_20,Lang_20_n0.txt,True,39,2,1,True,True,False,False,False
Lang_20,Lang_20_n4.txt,False,39,2,1,True,True,False,False,False
Lang_27,Lang_27_n0.txt,False,14,2,2,True,True,False,True,False
Lang_3,Lang_3_n3.txt,True,41,1,1,True,False,False,False,False
Lang_33,Lang_33_n0.txt,True,27,4,2,True,True,False,False,False
Lang_33,Lang_33_n4.txt,True,27,4,1,True,True,False,False,False
Lang_33,Lang_33_n2.txt,True,31,4,1,True,True,False,False,False
Lang_37,Lang_37_n2.txt,False,33,1,2,True,False,False,False,False
Lang_37,Lang_37_n1.txt,False,53,1,1,True,True,False,True,True
Lang_39,Lang_39_n2.txt,False,55,1,1,True,True,False,False,False
Math_106,Math_106_n3.txt,True,46,1,1,False,False,False,False,False
Math_3,Math_3_n1.txt,True,34,1,1,True,True,False,True,False
Math_35,Math_35_n4.txt,False,20,1,1,False,True,False,False,False
Math_35,Math_35_n2.txt,False,26,1,1,False,True,False,False,False
Math_40,Math_40_n0.txt,False,124,1,1,False,True,False,False,False
Math_58,Math_58_n0.txt,True,114,3,1,True,True,False,True,False
Math_58,Math_58_n4.txt,True,114,3,1,True,True,False,True,False
Math_58,Math_58_n2.txt,True,114,3,1,True,True,False,True,False
Math_76,Math_76_n1.txt,False,106,1,1,True,True,False,False,False
Math_80,Math_80_n0.txt,True,401,1,1,False,False,False,False,False
Math_90,Math_90_n0.txt,False,31,1,1,True,True,False,True,False
Time_10,Time_10_n0.txt,True,40,1,1,True,True,False,False,False
Time_18,Time_18_n3.txt,True,31,3,2,True,True,False,True,False
Time_18,Time_18_n1.txt,True,34,3,1,True,True,False,True,False
