bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,3,1,10
Chart_16,100000,0,1
Chart_9,1,13,15
Cli_15,1,4,6
Cli_17,5,1,10
Cli_18,100000,0,2
Cli_20,100000,0,3
Cli_23,1,9,22
Cli_26,100000,0,14
Cli_29,1,2,12
Cli_33,1,4,18
Cli_35,1,15,16
Cli_36,2,4,21
Cli_39,1,1,4
Cli_5,1,1,2
Cli_7,100000,0,3
Cli_8,100000,0,4
Closure_106,100000,0,4
Closure_118,100000,0,2
Closure_121,100000,0,4
Closure_123,100000,0,6
Closure_128,100000,0,3
Closure_13,100000,0,5
Closure_134,100000,0,31
Closure_146,100000,0,1
Closure_150,100000,0,1
Closure_153,100000,0,13
Closure_158,4,1,7
Closure_163,100000,0,3
Closure_169,100000,0,3
Closure_171,100000,0,2
Closure_20,100000,0,17
Closure_22,100000,0,2
Closure_27,2,5,8
Closure_32,100000,0,3
Closure_36,100000,0,3
Closure_38,100000,0,2
Closure_42,100000,0,11
Closure_44,100000,0,17
Closure_49,100000,0,4
Closure_54,100000,0,3
Closure_59,100000,0,3
Closure_65,100000,0,1
Closure_69,100000,0,7
Closure_73,100000,0,10
Closure_74,100000,0,2
Closure_77,100000,0,2
Closure_78,100000,0,3
Closure_82,100000,0,5
Closure_97,100000,0,3
Codec_1,100000,0,3
Codec_12,1,8,9
Codec_13,1,2,4
Codec_14,100000,0,3
Codec_15,100000,0,19
Codec_17,1,4,4
Codec_3,100000,0,9
Codec_7,1,2,2
Codec_8,3,2,8
Codec_9,6,1,11
Collections_25,1,3,3
Compress_12,100000,0,10
Compress_15,2,1,14
Compress_22,100000,0,8
Compress_23,100000,0,7
Compress_24,5,3,8
Compress_25,4,1,6
Compress_28,100000,0,4
Compress_31,100000,0,6
Compress_32,100000,0,13
Compress_35,100000,0,13
Compress_38,100000,0,6
Compress_39,100000,0,14
Compress_41,100000,0,13
Compress_42,2,1,6
Compress_44,2,1,4
Csv_10,2,5,17
Csv_14,2,3,8
Csv_15,2,4,6
Csv_2,100000,0,3
Csv_5,1,4,11
Csv_6,1,13,13
Csv_8,1,7,10
Gson_10,100000,0,1
Gson_13,1,7,7
Gson_15,100000,0,2
Gson_5,1,1,9
Gson_7,1,6,6
JacksonCore_16,100000,0,12
JacksonCore_20,2,1,2
JacksonCore_5,1,2,4
JacksonCore_7,100000,0,12
JacksonCore_9,1,14,17
JacksonDatabind_1,100000,0,3
JacksonDatabind_10,100000,0,9
JacksonDatabind_102,1,7,8
JacksonDatabind_109,100000,0,3
JacksonDatabind_110,1,1,9
JacksonDatabind_19,100000,0,3
JacksonDatabind_22,100000,0,3
JacksonDatabind_36,2,5,7
JacksonDatabind_38,100000,0,8
JacksonDatabind_46,100000,0,11
JacksonDatabind_51,100000,0,3
JacksonDatabind_56,1,3,5
JacksonDatabind_57,100000,0,11
JacksonDatabind_6,1,23,28
JacksonDatabind_87,2,3,17
JacksonDatabind_89,100000,0,12
JacksonDatabind_95,1,6,8
JacksonXml_3,100000,0,5
Jsoup_1,1,1,1
Jsoup_10,1,8,22
Jsoup_11,1,10,13
Jsoup_12,1,10,14
Jsoup_15,100000,0,13
Jsoup_17,2,6,9
Jsoup_18,100000,0,22
Jsoup_19,30,3,36
Jsoup_20,100000,0,9
Jsoup_21,2,2,15
Jsoup_22,3,1,3
Jsoup_23,1,1,1
Jsoup_24,100000,0,5
Jsoup_25,2,4,17
Jsoup_26,1,19,21
Jsoup_28,100000,0,7
Jsoup_29,4,4,17
Jsoup_3,100000,0,8
Jsoup_31,100000,0,29
Jsoup_35,1,7,10
Jsoup_37,100000,0,21
Jsoup_38,1,21,33
Jsoup_39,100000,0,20
Jsoup_4,1,2,2
Jsoup_40,1,8,8
Jsoup_42,1,11,12
Jsoup_43,100000,0,8
Jsoup_44,1,5,5
Jsoup_47,100000,0,38
Jsoup_51,2,2,9
Jsoup_52,100000,0,16
Jsoup_55,1,3,8
Jsoup_56,1,24,24
Jsoup_60,100000,0,12
Jsoup_61,1,6,7
Jsoup_62,5,10,21
Jsoup_63,100000,0,3
Jsoup_64,100000,0,18
Jsoup_65,100000,0,5
Jsoup_66,2,3,6
Jsoup_67,100000,0,8
Jsoup_69,1,9,10
Jsoup_70,2,11,16
Jsoup_71,100000,0,33
Jsoup_72,100000,0,9
Jsoup_74,1,3,7
Jsoup_75,1,9,9
Jsoup_77,1,10,11
Jsoup_78,100000,0,6
Jsoup_80,1,7,8
Jsoup_82,1,3,7
Jsoup_83,1,14,14
Jsoup_86,100000,0,4
Jsoup_88,1,5,6
Jsoup_89,1,3,15
Jsoup_91,100000,0,7
Jsoup_92,2,1,8
JxPath_14,1,3,3
JxPath_20,1,9,10
JxPath_21,1,3,11
JxPath_4,100000,0,4
JxPath_5,100000,0,7
Lang_12,1,3,17
Lang_14,1,8,8
Lang_17,1,3,3
Lang_18,100000,0,40
Lang_19,1,4,6
Lang_20,1,4,9
Lang_22,2,2,3
Lang_24,1,3,3
Lang_25,3,3,16
Lang_27,2,8,10
Lang_3,3,3,25
Lang_31,1,4,5
Lang_33,1,15,15
Lang_35,2,3,5
Lang_36,1,3,3
Lang_37,3,1,10
Lang_38,1,4,4
Lang_40,100000,0,3
Lang_41,100000,0,2
Lang_5,100000,0,21
Lang_6,1,1,6
Lang_8,3,3,27
Lang_9,100000,0,22
Math_1,1,3,3
Math_10,1,2,3
Math_101,100000,0,19
Math_102,2,1,8
Math_105,1,6,6
Math_106,1,3,3
Math_11,1,3,3
Math_16,1,2,2
Math_22,100000,0,2
Math_26,2,1,8
Math_27,1,17,20
Math_29,3,1,9
Math_3,1,4,4
Math_30,1,5,5
Math_37,1,3,3
Math_39,100000,0,8
Math_41,1,4,9
Math_43,4,1,8
Math_47,1,8,12
Math_52,2,1,11
Math_53,1,3,3
Math_54,1,6,8
Math_55,1,9,9
Math_56,1,13,17
Math_58,1,10,11
Math_59,1,6,6
Math_63,1,5,5
Math_74,100000,0,5
Math_75,100000,0,5
Math_76,100000,0,5
Math_77,1,9,9
Math_8,1,5,5
Math_80,1,3,3
Math_81,1,2,6
Math_89,1,1,20
Math_90,100000,0,20
Math_91,1,27,31
Math_92,1,2,2
Math_93,1,3,3
Math_94,1,2,2
Math_96,1,3,3
Math_98,100000,0,2
Math_99,1,4,5
Mockito_11,100000,0,5
Mockito_18,100000,0,2
Time_10,4,1,14
Time_13,1,4,5
Time_14,3,5,11
Time_15,2,6,11
Time_17,2,5,12
Time_18,1,11,11
Time_19,7,1,19
Time_2,1,5,8
Time_3,2,8,15
Time_4,100000,0,4
Time_5,2,2,13
Time_6,1,2,3
Time_7,1,10,11
Time_8,1,7,14
Time_9,100000,0,16
